player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
C.J. Stroud,Hou,QB,FA,,Ten,W 26-0,--,18.42,7th,14.6,54,-2.6,52.48,13.1,--
Brandon McManus,GB,K,FA,,@Dal,T 40-40,--,12,20th,14,16,0.9,34,8.5,--
Tyler Bass,Buf,K,FA,,NO,W 31-19,--,--,29th,13.6,35.8,-3.6,--,--,--
Evan Engram,Den,TE,FA,,Cin,W 28-3,--,6.9,29th,13.4,58.5,-7.4,14.2,4.7,--
Matthew Stafford,LAR,QB,FA,,Ind,W 27-20,--,27.4,5th,13.4,40.9,3.6,72.16,18,--
Travis Hunter,Jax,WR,FA,,@SF,W 26-21,--,7.2,6th,12.7,84.5,-6.6,24.8,6.2,--
Jordan Addison,Min,WR,FA,,@Pit,L 21-24,--,15.4,15th,12,79,3.2,15.4,15.4,--
Mike Evans,TB,WR,FA,,Phi,L 25-31,--,--,17th,11.7,95.8,-2,34,11.3,--
Falcons D/ST,Atl,D/ST,FA,,Wsh,W 34-27,--,6,4th,11.4,19.1,-34.8,35,8.8,--
George Kittle,SF,TE,FA,,Jax,L 21-26,--,--,7th,10.8,97.3,-0.7,12.5,12.5,--
Evan McPherson,Cin,K,FA,,@Den,L 3-28,--,3,31st,10,12.5,-2.7,20,5,--
Kenneth Gainwell,Pit,RB,FA,,Min,W 24-21,--,31.4,10th,10,35.6,8.5,52.9,13.2,--
Khalil Shakir,Buf,WR,FA,,NO,W 31-19,--,17.9,21st,9.7,74.3,-1.2,47,11.8,--
Romeo Doubs,GB,WR,FA,,@Dal,T 40-40,--,29.8,32nd,9.5,36.7,2.9,54.9,13.7,--
Joe Burrow,Cin,QB,FA,,@Den,L 3-28,--,--,8th,9.3,75.7,-4.5,15.86,7.9,--
Jason Myers,Sea,K,FA,,@Ari,W 23-20,--,13,10th,9.3,11.1,1.4,46,11.5,--
Harold Fannin Jr.,Cle,TE,FA,,@Det,L 10-34,--,4.5,28th,9.1,32.9,-6.5,33.4,8.4,--
Jacory Croskey-Merritt,Wsh,RB,FA,,@Atl,L 27-34,--,7.7,6th,8.9,80.8,-3.5,33.7,8.4,--
Jauan Jennings,SF,WR,FA,,Jax,L 21-26,--,6.4,27th,8.7,76.9,0.4,29.9,10,--
Jonnu Smith,Pit,TE,FA,,Min,W 24-21,--,2.6,18th,8.5,33.4,-6.9,27.1,6.8,--
Jets D/ST,NYJ,D/ST,FA,,@Mia,L 21-27,--,0,26th,8.4,11.9,-0.2,11,2.8,--
Chig Okonkwo,Ten,TE,FA,,@Hou,L 0-26,--,1.4,10th,8.2,20.5,5.4,25.4,6.4,--
RJ Harvey,Den,RB,FA,,Cin,W 28-3,--,19.8,31st,8.1,76.8,-4.3,35.7,8.9,--
Joshua Karty,LAR,K,FA,,Ind,W 27-20,--,10,2nd,8.1,10,0.3,36,9,--
Marcus Mariota,Wsh,QB,FA,,@Atl,L 27-34,--,16.24,4th,8,10.8,3.5,36.52,18.3,--
Kareem Hunt,KC,RB,FA,,Bal,W 37-20,--,5.7,32nd,7.5,38.9,7.3,26.1,6.5,--
Jason Sanders,Mia,K,FA,,NYJ,W 27-21,--,--,32nd,7.3,12.6,-1.5,--,--,--
Hollywood Brown,KC,WR,FA,,Bal,W 37-20,--,12.8,20th,7.1,61.3,-9.7,48.9,12.2,--
