player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
JuJu Smith-Schuster,KC,WR,FA,,Phi,L 17-20,--,1.5,17th,2.5,15.5,14.6,12,6,--
Cam Skattebo,NYG,RB,FA,,@Dal,L 37-40,--,13.9,19th,2.4,71.1,-10.3,16.8,8.4,--
Dalton Schultz,Hou,TE,FA,,TB,Mon 6:00 PM,--,5.9,20th,2.3,8,1.5,5.8,5.8,--
Kareem Hunt,KC,RB,FA,,Phi,L 17-20,--,4.4,24th,2.2,24.5,12.2,9,4.5,--
Kaleb Johnson,Pit,RB,FA,,Sea,L 17-31,--,0.1,32nd,2.1,67.4,-16.6,-0.1,-0.1,--
Chig Okonkwo,Ten,TE,FA,,LAR,L 19-33,--,7.5,16th,1.9,9.8,-1.4,12.4,6.2,--
Romeo Doubs,GB,WR,FA,,Wsh,W 27-18,--,11.8,11th,1.7,20.3,0.5,20.6,10.3,--
Brian Robinson Jr.,SF,RB,FA,,@NO,W 26-21,--,2.9,20th,1.7,50.8,-2.3,7.6,3.8,--
Dolphins D/ST,Mia,D/ST,FA,,NE,L 27-33,--,8,23rd,1.6,2.6,-3.4,5,2.5,--
Noah Fant,Cin,TE,FA,,Jax,W 31-27,--,5.8,6th,1.6,3.8,3.2,18.4,9.2,--
Darnell Mooney,Atl,WR,FA,,@Min,W 22-6,--,4,21st,1.6,62.1,-3.3,4,4,--
Younghoe Koo,Atl,K,FA,,@Min,W 22-6,--,--,9th,1.5,3.8,-3.8,8,8,--
Marvin Mims Jr.,Den,WR,FA,,@Ind,L 28-29,--,10.4,10th,1.5,30.6,-8.1,12.6,6.3,--
Wan'Dale Robinson,NYG,WR,FA,,@Dal,L 37-40,--,28.2,3rd,1.4,29.9,-1.5,39.7,19.9,--
Quinshon Judkins,Cle,RB,FA,,@Bal,L 17-41,--,10.1,25th,1.4,57.2,1.7,10.1,10.1,--
Pat Freiermuth,Pit,TE,FA,,Sea,L 17-31,--,6.1,32nd,1.4,9.6,-1.6,11.9,6,--
Bengals D/ST,Cin,D/ST,FA,,Jax,W 31-27,--,2,6th,1.3,2.1,-1.9,9,4.5,--
Cam Ward,Ten,QB,FA,,LAR,L 19-33,--,9.8,7th,1.2,19.3,-5.8,12.28,6.1,--
Adam Thielen,Min,WR,FA,,Atl,L 6-22,--,4.6,28th,1.2,33.9,-10.3,6.6,3.3,--
Rashod Bateman,Bal,WR,FA,,Cle,W 41-17,--,3.5,1st,1.2,27.2,-4.9,6.5,3.3,--
Calvin Austin III,Pit,WR,FA,,Sea,L 17-31,--,3.2,4th,1.2,13.6,11.3,20.2,10.1,--
Xavier Legette,Car,WR,FA,,@Ari,L 22-27,--,0.8,16th,1.2,47.2,-9.2,4.8,2.4,--
Josh Downs,Ind,WR,FA,,Den,W 29-28,--,11.1,2nd,1.1,57.5,-9.4,14.3,7.2,--
Jaguars D/ST,Jax,D/ST,FA,,@Cin,L 27-31,--,7,18th,1.1,2,-0.9,19,9.5,--
Kenneth Gainwell,Pit,RB,FA,,Sea,L 17-31,--,6.6,32nd,1.1,10,8.1,11.9,6,--
